Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL_log_return,MSFT_log_return,AMZN_log_return,NVDA_log_return,GOOGL_log_return,META_log_return,TSLA_log_return,Mom,Mkt-RF,RF,AAPL_excess_return,MSFT_excess_return,AMZN_excess_return,NVDA_excess_return,GOOGL_excess_return,META_excess_return,TSLA_excess_return
2019-03-25,45.21146774291992,88.71299743652344,59.584129333496094,165.5099334716797,111.15104675292969,4.313577175140381,17.3613338470459,-0.012164660004259087,0.005197924624007477,0.005363007055880331,-0.021180376265404366,-0.008540521863961814,0.011795639833334093,-0.01565885501907882,0.006500000000000001,-0.0005,8.999999999999999e-05,-0.012254660004259087,0.005107924624007477,0.005273007055880331,-0.021270376265404366,-0.008630521863961814,0.011705639833334093,-0.01574885501907882
2019-03-26,44.74435806274414,89.18800354003906,59.20892333984375,166.8934326171875,111.38722229003906,4.390276908874512,17.851333618164062,-0.010385405823178928,0.0021225619017766206,0.005340129956769246,0.017624771379760373,-0.006316989637086934,0.008324266692757654,0.02783267714915949,-0.0046,0.0076,8.999999999999999e-05,-0.010475405823178928,0.002032561901776621,0.005250129956769246,0.017534771379760374,-0.006406989637086934,0.008234266692757654,0.02774267714915949
2019-03-27,45.14678192138672,88.28500366210938,58.6202392578125,165.09190368652344,110.310302734375,4.381092548370361,18.32200050354004,0.008953642086635849,-0.00971529137388849,-0.010176281844700874,-0.0020941687396596187,-0.0099922458437387,-0.010853169807978347,0.026024333138829903,-0.0037,-0.005,8.999999999999999e-05,0.00886364208663585,-0.00980529137388849,-0.010266281844700874,-0.0021841687396596185,-0.0100822458437387,-0.010943169807978347,0.025934333138829903
2019-03-28,45.2066764831543,88.6709976196289,58.3346061706543,164.7734375,110.46144104003906,4.399708271026611,18.57466697692871,0.0013257836855005145,0.0013691818227385966,0.0043626050195566535,0.004240103136222029,-0.004884511693526328,-0.0019308866116292123,0.013696110803547601,-0.0018,0.004,8.999999999999999e-05,0.0012357836855005145,0.0012791818227385965,0.004272605019556654,0.004150103136222029,-0.0049745116935263275,-0.002020886611629212,0.013606110803547601
2019-03-29,45.501312255859375,89.0374984741211,58.56450653076172,165.9080810546875,111.41558074951172,4.457047939300537,18.657333374023438,0.006496380594670281,0.008600670618056583,0.004124747912130466,0.012948413176884443,0.0039333173912670105,0.006862482140035375,0.004440617326900931,-0.0002,0.0066,8.999999999999999e-05,0.0064063805946702815,0.008510670618056583,0.004034747912130467,0.012858413176884444,0.0038433173912670107,0.0067724821400353755,0.004350617326900931
2019-04-01,45.810325622558594,90.70950317382812,59.66374969482422,167.9086456298828,112.4358139038086,4.52456521987915,19.278667449951172,0.006768349655115191,0.009115334930788421,0.01860451536216523,0.015034838667302042,0.01859580570437913,0.0119861490848292,0.03275989192109385,-0.0096,0.011899999999999999,0.0001,0.006668349655115191,0.009015334930788422,0.01850451536216523,0.014934838667302042,0.018495805704379132,0.011886149084829201,0.03265989192109385
2019-04-02,46.476261138916016,90.6989974975586,59.99018859863281,173.38282775878906,112.59640502929688,4.542435169219971,19.058666229248047,0.014432153111267887,0.001427272534675339,-0.00011582341778204608,0.0039417606069864775,0.005456397313222894,0.032081971418599586,-0.011477252828966833,0.0019,-0.0005,0.0001,0.014332153111267888,0.001327272534675339,-0.00021582341778204607,0.0038417606069864776,0.0053563973132228935,0.031981971418599583,-0.011577252828966832
2019-04-03,46.79484176635742,91.03500366210938,60.252437591552734,172.72593688964844,113.33325958251953,4.681934833526611,19.45400047302246,0.0068313090859826175,0.00652288991915384,0.0036977840720462396,0.03024820132190742,0.004362004008867437,-0.0037958683799788062,0.020530810463766702,-0.001,0.0027,0.0001,0.006731309085982617,0.00642288991915384,0.0035977840720462398,0.03014820132190742,0.004262004008867437,-0.003895868379978806,0.020430810463766703
2019-04-04,46.876285552978516,90.94300079345703,60.68238067626953,175.19430541992188,112.75701141357422,4.673001289367676,17.851999282836914,0.0017389308632203004,-0.0050975162638149385,-0.0010111428220831442,-0.0019099108229485573,0.007110357501108666,0.014189516133615854,-0.08593722216784849,-0.0132,0.0019,0.0001,0.0016389308632203004,-0.005197516263814939,-0.0011111428220831443,-0.002009910822948557,0.007010357501108666,0.014089516133615854,-0.0860372221678485
2019-04-05,47.190101623535156,91.86399841308594,60.28428268432617,174.8957061767578,113.2576904296875,4.739771366119385,18.33066749572754,0.0066722501885045915,0.0044305067859014,0.010076259837953572,0.014187359910866615,-0.006581969248276032,-0.0017058431013783348,0.02645997007312806,-0.0066,0.0052,0.0001,0.006572250188504591,0.0043305067859014,0.009976259837953572,0.014087359910866615,-0.006681969248276032,-0.0018058431013783349,0.02635997007312806
2019-04-08,47.93268966674805,92.49299621582031,60.12654113769531,174.1094207763672,113.29547882080078,4.760622501373291,18.213333129882812,0.01561356892440724,0.0003335940220017264,0.006823719866721589,0.004389537744384775,-0.002620057431072631,-0.004505874957070333,-0.006421561243439733,-0.0018,0.0008,0.0001,0.01551356892440724,0.0002335940220017264,0.006723719866721589,0.004289537744384775,-0.002720057431072631,-0.004605874957070333,-0.006521561243439733
2019-04-09,47.78895950317383,91.79199981689453,59.84836959838867,176.7469940185547,112.68142700195312,4.697822570800781,18.15399932861328,-0.0030030880754825517,-0.005434655616430639,-0.007607779201279641,-0.013279318733083079,-0.004637170156128079,0.01503534106025306,-0.003263030302426806,0.0098,-0.006500000000000001,0.0001,-0.0031030880754825516,-0.0055346556164306395,-0.007707779201279641,-0.013379318733083078,-0.004737170156128079,0.01493534106025306,-0.0033630303024268057
2019-04-10,48.05723190307617,92.36650085449219,60.03547286987305,176.98587036132812,113.54109191894531,4.768316745758057,18.40399932861328,0.00559799187736898,0.007600207611238474,0.0062392221828293515,0.014894240574311102,0.003121411852467837,0.0013506032553918246,0.013677110691161953,-0.002,0.0048,0.0001,0.005497991877368979,0.007500207611238474,0.006139222182829351,0.014794240574311102,0.003021411852467837,0.0012506032553918245,0.013577110691161954
2019-04-11,47.65719985961914,92.20349884033203,60.19172668457031,176.6773223876953,113.67334747314453,4.754416465759277,17.89466667175293,-0.008358914435830478,0.0011641475734514017,-0.0017662898283274941,-0.0029193908014681913,0.002599310359928886,-0.0017448694590891378,-0.028065278661060233,-0.0012,0.0,0.0001,-0.008458914435830477,0.0010641475734514017,-0.0018662898283274942,-0.003019390801468191,0.002499310359928886,-0.0018448694590891379,-0.028165278661060233
2019-04-12,47.63804626464844,92.15299987792969,60.84560012817383,178.2598419189453,114.25906372070312,4.716438293457031,17.84666633605957,-0.00040198427534665626,0.005139396663421891,-0.0005478403421248501,-0.008020052431276348,0.01080459758773511,0.008917240440486474,-0.0026859862524521994,-0.0108,0.006500000000000001,0.0001,-0.0005019842753466563,0.005039396663421891,-0.0006478403421248502,-0.008120052431276347,0.01070459758773511,0.008817240440486474,-0.002785986252452199
